# Title: Diode Laser Toptica Frequency Scan, 9 dB MW, PM Blink.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 37 dB PM, 55.75 V Top to Bot, n=27. Use Toptica to scan from 361373 to 361345 ish GHz over 10 Seconds.
# Type:	Toptica Frequency
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361373 to 361345 GHz
# Target:	Full Stark States in 55.75 V = 9.2 V/cm
# Laser Mod:	0th: 1.09	1st: 1.10
# Laser Mod Attn:	36 dB
# Delay:	98291 (0, Min for Red States)
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
b	r	s
0.016	0.024	0.009
0.023	0.010	0.000
0.019	0.013	0.002
0.016	0.018	0.005
0.017	0.011	0.005
0.010	0.011	0.012
0.005	0.014	0.021
0.013	0.005	0.021
0.013	0.014	0.007
0.016	0.006	-0.008
0.016	0.012	-0.012
0.013	0.018	-0.005
0.014	0.029	0.006
0.005	0.020	0.010
0.008	0.007	0.013
0.015	0.012	0.016
0.019	0.018	0.018
0.011	0.016	0.013
0.020	0.020	0.009
0.015	0.017	0.020
0.013	0.025	0.020
0.005	0.010	0.013
0.004	0.010	0.019
0.004	0.018	0.026
0.005	0.012	0.019
0.013	0.022	0.014
0.016	0.002	0.012
0.020	0.009	0.011
0.016	0.013	0.002
0.011	0.017	0.008
0.000	0.003	0.009
0.007	-0.009	0.016
0.009	0.001	0.015
0.008	0.014	0.012
0.014	0.002	-0.006
0.021	0.010	-0.005
0.014	0.013	0.002
0.014	0.010	-0.001
0.007	0.005	0.009
-0.001	0.012	0.018
0.009	0.014	0.019
0.011	0.017	0.005
0.014	0.012	0.020
0.014	0.011	0.018
0.016	0.015	0.005
0.012	0.015	0.006
0.011	0.025	0.011
0.007	-0.005	0.013
0.013	0.006	0.020
0.013	0.013	0.008
0.008	0.016	0.014
0.019	0.010	0.002
0.021	0.016	0.014
0.018	0.020	0.025
0.014	0.016	0.019
0.006	0.009	0.024
0.004	0.020	0.029
0.012	0.018	0.014
0.009	0.025	0.021
0.022	0.008	0.010
0.022	0.007	0.004
0.021	0.010	0.008
0.014	0.017	0.015
0.007	0.012	0.018
0.005	0.006	0.020
0.018	0.012	0.028
0.020	0.013	0.021
0.014	0.006	0.014
0.020	0.012	-0.001
0.016	0.014	0.007
0.012	0.024	0.009
0.007	0.006	0.006
0.006	0.014	0.012
0.002	0.025	0.017
0.009	0.016	0.026
0.004	0.015	0.018
0.011	0.009	0.013
0.016	0.016	-0.001
0.013	0.001	-0.006
0.008	0.013	0.006
0.001	0.000	0.018
0.013	-0.003	0.024
0.011	0.009	0.012
0.012	0.017	0.005
0.017	0.016	-0.013
0.020	0.016	-0.002
0.018	0.019	0.005
0.019	0.017	0.001
0.008	0.006	0.008
-0.002	0.017	0.013
0.007	0.022	0.018
0.018	0.016	0.018
0.015	0.006	0.011
0.022	0.006	0.008
0.018	0.014	0.009
0.012	0.015	0.007
0.008	0.025	0.009
0.003	-0.009	0.016
0.015	0.004	0.021
0.017	0.008	0.015
0.009	0.012	0.009
0.013	0.010	-0.000
0.016	0.020	0.002
0.010	0.026	0.010
0.010	0.019	0.005
0.002	0.017	0.002
0.004	0.022	0.013
0.011	0.014	0.018
0.007	0.017	0.009
0.012	-0.009	-0.004
0.021	-0.003	-0.004
0.019	0.012	-0.003
0.019	0.021	0.002
0.013	0.014	0.017
0.009	0.006	0.018
0.016	0.012	0.023
0.018	0.023	0.023
0.015	0.017	0.016
0.023	0.021	0.011
0.015	0.022	0.010
0.013	0.027	0.013
0.002	0.010	0.014
0.004	0.015	0.017
0.004	0.017	0.019
0.008	0.007	0.024
0.010	0.011	0.014
0.015	-0.003	0.008
0.024	-0.000	0.007
0.019	0.001	0.000
0.013	0.002	0.013
0.002	-0.002	0.017
0.012	-0.005	0.020
0.013	0.006	0.013
0.015	0.010	0.000
0.016	0.007	-0.026
0.021	0.016	-0.017
0.020	0.024	-0.009
0.016	0.019	-0.007
0.008	0.010	0.009
-0.001	0.020	0.013
0.005	0.018	0.019
0.012	0.017	0.013
0.013	0.012	0.010
0.020	0.012	0.008
0.017	0.014	0.012
0.012	0.013	0.005
0.006	0.019	0.016
0.005	-0.007	0.018
0.014	0.004	0.023
0.013	0.007	0.012
0.006	0.014	0.010
0.014	0.010	-0.006
0.015	0.015	-0.002
0.011	0.023	0.005
0.010	0.018	0.011
0.002	0.010	0.022
0.004	0.015	0.024
0.017	0.010	0.030
0.012	0.014	0.016
0.019	0.010	0.001
0.020	0.012	-0.008
0.019	0.018	-0.000
0.018	0.025	0.004
0.006	0.015	0.016
0.011	0.001	0.015
0.022	0.008	0.018
0.022	0.016	0.023
0.012	0.008	0.012
0.019	0.012	0.015
0.013	0.013	0.023
0.014	0.020	0.022
0.001	0.003	0.022
0.006	0.008	0.019
0.002	0.011	0.021
0.014	0.007	0.024
0.013	0.018	0.010
0.018	0.005	0.007
0.024	0.016	0.007
0.015	0.018	0.009
0.008	0.019	0.009
-0.002	-0.002	0.017
0.005	-0.010	0.021
0.009	0.005	0.021
0.011	0.013	0.015
0.014	0.004	0.001
0.019	0.005	-0.004
0.014	0.013	0.006
0.010	0.010	-0.008
0.006	0.007	0.008
-0.001	0.018	0.017
0.006	0.029	0.024
0.013	0.022	0.009
0.011	0.013	-0.003
0.018	0.011	-0.005
0.017	0.013	-0.003
0.013	0.016	-0.006
0.003	0.018	0.002
0.008	-0.010	0.009
0.013	0.004	0.013
0.014	0.010	0.005
0.013	0.021	0.003
0.024	0.009	-0.003
0.021	0.011	0.006
0.013	0.019	0.013
0.016	0.014	0.011
0.003	0.008	0.012
0.005	0.016	0.021
0.010	0.009	0.023
0.013	0.013	0.017
0.019	0.010	0.000
0.024	0.005	-0.004
0.020	0.014	-0.005
0.022	0.022	0.005
0.007	0.009	0.013
0.008	-0.000	0.017
0.014	0.009	0.025
0.015	0.016	0.034
0.010	0.009	0.014
0.016	0.012	0.000
0.016	0.012	0.014
0.014	0.016	0.010
0.002	0.009	0.012
0.001	0.012	0.019
0.006	0.021	0.011
0.011	0.019	0.017
0.015	0.024	0.008
0.020	0.006	-0.007
0.020	0.017	-0.002
0.015	0.019	-0.008
0.011	0.021	0.002
0.001	0.002	0.003
0.012	-0.008	0.010
0.011	0.001	0.010
0.012	0.013	0.007
0.014	0.006	0.001
0.022	0.010	0.008
0.021	0.015	0.008
0.016	0.008	0.000
0.015	0.001	0.006
0.003	0.005	0.006
0.010	0.008	0.015
0.011	0.002	0.010
0.018	-0.004	0.004
0.021	0.005	0.002
0.018	0.011	0.006
0.014	0.021	0.006
0.006	0.030	0.021
0.013	-0.013	0.028
0.019	-0.003	0.027
0.020	0.007	0.017
0.014	0.014	0.015
0.018	0.003	0.010
0.017	0.003	0.014
0.013	0.008	0.019
0.018	0.003	0.008
0.012	0.004	0.016
0.007	0.011	0.018
