# Title: Diode Laser Delay Scan, 21 dB MW, short check.
# Note: Diode Laser Delay Scan, 21 dB on Var Attn, 30.5 dB PM, 40 V Top to Bot, 27f. Making a short scan to check how the phase dependence behaves.
# Type:	Delay
# Hittite Freq:	18509.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.5 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	1.85 (0.10 = J_0(1.85)^2) or 1.84 (0.36 = J_1(1.84)^2)
# Laser Mod Attn:	30.5 dB
# MW Attn:	21 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	89704.000	0.240	0.004	0.134	0.004
1.000	90774.000	0.240	0.004	0.118	0.004
2.000	91844.000	0.240	0.004	0.108	0.004
3.000	92913.000	0.240	0.004	0.080	0.004
4.000	93983.000	0.240	0.004	0.067	0.004
5.000	95053.000	0.240	0.004	0.065	0.004
6.000	96122.000	0.240	0.004	0.057	0.004
7.000	97192.000	0.240	0.004	0.083	0.004
8.000	98262.000	0.240	0.004	0.094	0.004
9.000	99331.000	0.240	0.004	0.113	0.004
10.000	100401.000	0.240	0.004	0.130	0.004
11.000	101471.000	0.240	0.004	0.138	0.004
12.000	102540.000	0.240	0.004	0.162	0.004
13.000	103610.000	0.240	0.004	0.155	0.004
14.000	104680.000	0.240	0.004	0.141	0.004
15.000	105750.000	0.240	0.004	0.146	0.004
16.000	106819.000	0.240	0.004	0.129	0.004
17.000	107889.000	0.240	0.004	0.092	0.004
18.000	108959.000	0.240	0.004	0.075	0.004
19.000	110028.000	0.240	0.004	0.058	0.004
20.000	110296.000	0.240	0.004	0.061	0.004
21.000	109226.000	0.240	0.004	0.071	0.004
22.000	108156.000	0.240	0.004	0.086	0.004
23.000	107087.000	0.240	0.004	0.108	0.004
24.000	106017.000	0.240	0.004	0.134	0.004
25.000	104947.000	0.240	0.004	0.140	0.004
26.000	103878.000	0.240	0.004	0.159	0.004
27.000	102808.000	0.240	0.004	0.150	0.004
28.000	101738.000	0.240	0.004	0.127	0.004
29.000	100669.000	0.240	0.004	0.132	0.004
30.000	99599.000	0.240	0.004	0.102	0.004
31.000	98529.000	0.240	0.004	0.086	0.004
32.000	97460.000	0.240	0.004	0.086	0.004
33.000	96390.000	0.240	0.004	0.060	0.004
34.000	95320.000	0.240	0.004	0.063	0.004
35.000	94250.000	0.240	0.004	0.071	0.004
36.000	93181.000	0.240	0.004	0.073	0.004
37.000	92111.000	0.240	0.004	0.094	0.004
38.000	91041.000	0.240	0.004	0.111	0.004
39.000	89972.000	0.240	0.004	0.128	0.004
40.000	90239.000	0.240	0.004	0.129	0.004
41.000	91309.000	0.240	0.004	0.107	0.004
42.000	92379.000	0.240	0.004	0.092	0.004
43.000	93448.000	0.240	0.004	0.071	0.004
44.000	94518.000	0.240	0.004	0.076	0.004
45.000	95588.000	0.240	0.004	0.061	0.004
46.000	96657.000	0.240	0.004	0.062	0.004
47.000	97727.000	0.240	0.004	0.071	0.004
48.000	98797.000	0.240	0.004	0.086	0.004
49.000	99866.000	0.240	0.004	0.121	0.004
50.000	100936.000	0.240	0.004	0.136	0.004
51.000	102006.000	0.240	0.004	0.143	0.004
52.000	103075.000	0.240	0.004	0.166	0.004
53.000	104145.000	0.240	0.004	0.151	0.004
54.000	105215.000	0.240	0.004	0.139	0.004
55.000	106284.000	0.240	0.004	0.118	0.004
56.000	107354.000	0.240	0.004	0.110	0.004
57.000	108424.000	0.240	0.004	0.105	0.004
58.000	109493.000	0.240	0.004	0.068	0.004
59.000	109761.000	0.240	0.004	0.062	0.004
60.000	108691.000	0.240	0.004	0.067	0.004
61.000	107621.000	0.240	0.004	0.094	0.004
62.000	106552.000	0.240	0.004	0.116	0.004
63.000	105482.000	0.240	0.004	0.122	0.004
64.000	104412.000	0.240	0.004	0.136	0.004
65.000	103343.000	0.240	0.004	0.155	0.004
66.000	102273.000	0.240	0.004	0.153	0.004
67.000	101203.000	0.240	0.004	0.129	0.004
68.000	100134.000	0.240	0.004	0.125	0.004
69.000	99064.000	0.240	0.004	0.098	0.004
70.000	97994.000	0.240	0.004	0.086	0.004
71.000	96925.000	0.240	0.004	0.066	0.004
72.000	95855.000	0.240	0.004	0.057	0.004
73.000	94785.000	0.240	0.004	0.055	0.004
74.000	93716.000	0.240	0.004	0.071	0.004
75.000	92646.000	0.240	0.004	0.089	0.004
76.000	91576.000	0.240	0.004	0.118	0.004
77.000	90507.000	0.240	0.004	0.108	0.004
